freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	cycle number	
6.3100977E+002	2.1501958E+006	5.5683910E+006	5.9691140E+006	-6.8886276E+001	2.000000000000000E+000
5.0112231E+002	2.4800008E+006	6.5910850E+006	7.0422160E+006	-6.9380394E+001	2.000000000000000E+000
3.9808899E+002	2.8114625E+006	7.8485200E+006	8.3368810E+006	-7.0291679E+001	2.000000000000000E+000
3.1631589E+002	3.1566318E+006	9.4463040E+006	9.9597680E+006	-7.1522133E+001	2.000000000000000E+000
2.5120601E+002	3.5577860E+006	1.1431380E+007	1.1972230E+007	-7.2712303E+001	2.000000000000000E+000
1.9955261E+002	4.0650083E+006	1.3928448E+007	1.4509513E+007	-7.3730148E+001	2.000000000000000E+000
1.5852898E+002	4.6795175E+006	1.7006992E+007	1.7639038E+007	-7.4615623E+001	2.000000000000000E+000
1.2592673E+002	1.0601793E+007	2.7096080E+007	2.9096316E+007	-6.8631248E+001	2.000000000000000E+000
9.9968163E+001	1.3332542E+007	3.1796484E+007	3.4478588E+007	-6.7251274E+001	2.000000000000000E+000
7.9415733E+001	1.5935877E+007	3.6948824E+007	4.0238884E+007	-6.6669662E+001	2.000000000000000E+000
6.3082275E+001	1.9330442E+007	3.5602912E+007	4.0512140E+007	-6.1500450E+001	2.000000000000000E+000
5.0112232E+001	2.1676818E+007	5.0737912E+007	5.5174452E+007	-6.6866318E+001	2.000000000000000E+000
3.9808899E+001	2.4830662E+007	6.0113648E+007	6.5040084E+007	-6.7556343E+001	2.000000000000000E+000
3.1629576E+001	2.6807578E+007	7.2312088E+007	7.7121232E+007	-6.9659218E+001	2.000000000000000E+000
2.5120600E+001	3.4005148E+007	8.6814000E+007	9.3236368E+007	-6.8609657E+001	2.000000000000000E+000
1.9955261E+001	3.8447508E+007	1.0437725E+008	1.1123318E+008	-6.9778656E+001	2.000000000000000E+000
1.5846863E+001	8.5414992E+007	1.6928069E+008	1.8960926E+008	-6.3225578E+001	2.000000000000000E+000
1.2587234E+001	1.0912537E+008	1.9415216E+008	2.2271822E+008	-6.0661354E+001	2.000000000000000E+000
9.9968157E+000	1.3474157E+008	2.1917155E+008	2.5727701E+008	-5.8417767E+001	2.000000000000000E+000
7.9395618E+000	1.6393064E+008	2.4643619E+008	2.9597981E+008	-5.6367943E+001	2.000000000000000E+000
6.3131294E+000	1.9594138E+008	2.7713322E+008	3.3940512E+008	-5.4738560E+001	2.000000000000000E+000
5.0128322E+000	2.3244315E+008	3.1338157E+008	3.9017667E+008	-5.3434723E+001	2.000000000000000E+000
3.9819028E+000	2.7584566E+008	3.5300787E+008	4.4800154E+008	-5.1995396E+001	2.000000000000000E+000
3.1603944E+000	3.3207725E+008	3.9875203E+008	5.1892051E+008	-5.0212761E+001	2.000000000000000E+000
2.5108454E+000	3.9502957E+008	4.4683683E+008	5.9641555E+008	-4.8521458E+001	2.000000000000000E+000
1.9955261E+000	4.8321802E+008	4.8614291E+008	6.8544480E+008	-4.5172878E+001	2.000000000000000E+000
